epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,579.883,1.90104,0.95298,0.00131,0.73667,0.5713,0.58124,0.27985,1.93109,0.89338,0.00196,0.000650909,0.000650909,0.000650909
57,588.535,1.8763,0.95975,0.00129,0.90926,0.55181,0.59932,0.2907,1.95255,0.91827,0.00193,0.000636762,0.000636762,0.000636762
58,597.887,1.8598,0.93391,0.00133,0.87678,0.55627,0.61615,0.289,1.9807,0.9032,0.00195,0.000622615,0.000622615,0.000622615
59,610.298,1.93883,1.02321,0.00135,0.84723,0.55652,0.60617,0.29005,1.9803,0.92544,0.00202,0.000608468,0.000608468,0.000608468
60,622.596,1.88061,0.93634,0.00126,0.85442,0.52634,0.60407,0.2935,1.96503,0.91212,0.002,0.000594321,0.000594321,0.000594321
61,634.928,1.88434,0.96002,0.00129,0.74657,0.54727,0.59267,0.29455,1.94718,0.93138,0.002,0.000580174,0.000580174,0.000580174
62,645.436,1.86055,0.92819,0.00126,0.91074,0.53233,0.60169,0.30151,1.94793,0.89211,0.00202,0.000566027,0.000566027,0.000566027
63,656.134,1.79644,0.87663,0.00126,0.75292,0.53045,0.56235,0.28952,1.93847,0.90599,0.00193,0.00055188,0.00055188,0.00055188
64,665.06,1.86227,0.9132,0.00125,0.7635,0.57619,0.60174,0.29644,1.95937,0.90878,0.00198,0.000537733,0.000537733,0.000537733
65,675.38,1.8375,0.90675,0.00126,0.86313,0.5603,0.60222,0.30252,1.93922,0.90106,0.00191,0.000523586,0.000523586,0.000523586
66,687.3,1.84532,0.92741,0.00122,0.67366,0.56452,0.55554,0.26843,1.93767,0.95841,0.00195,0.000509438,0.000509438,0.000509438
67,699.604,1.77301,0.91187,0.00122,0.9219,0.54223,0.60714,0.29524,1.92582,0.89765,0.00193,0.000495291,0.000495291,0.000495291
68,711.905,1.73296,0.8809,0.00119,0.66972,0.55689,0.57797,0.29377,1.89686,0.89558,0.00191,0.000481144,0.000481144,0.000481144
69,722.424,1.77996,0.84967,0.0012,0.86712,0.49348,0.58005,0.29704,1.914,0.86271,0.00195,0.000466997,0.000466997,0.000466997
70,730.961,1.81456,0.89112,0.00119,0.87361,0.49683,0.57136,0.28061,1.96758,0.85596,0.00197,0.00045285,0.00045285,0.00045285
71,740.021,1.81678,0.87924,0.00125,0.55146,0.52692,0.56993,0.28981,1.92687,0.88004,0.00194,0.000438703,0.000438703,0.000438703
