epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,407.678,2.02804,1.23432,0.00145,0.61607,0.41704,0.43122,0.21196,2.1615,1.31949,0.00231,0.000566027,0.000566027,0.000566027
63,413.859,1.97659,1.18202,0.00145,0.77363,0.39085,0.42022,0.20568,2.14913,1.31477,0.00231,0.00055188,0.00055188,0.00055188
64,420.142,2.06118,1.21298,0.00148,0.55827,0.4505,0.42417,0.20949,2.13428,1.27654,0.00228,0.000537733,0.000537733,0.000537733
65,426.424,1.99086,1.17464,0.00144,0.68403,0.43099,0.44418,0.20857,2.18282,1.31882,0.00235,0.000523586,0.000523586,0.000523586
66,432.552,2.03596,1.23448,0.00143,0.84762,0.36579,0.42094,0.19797,2.19099,1.30741,0.00235,0.000509438,0.000509438,0.000509438
67,438.709,1.96655,1.18172,0.00143,0.52959,0.43427,0.42203,0.19745,2.1876,1.29727,0.00231,0.000495291,0.000495291,0.000495291
68,444.823,1.96373,1.16281,0.00144,0.53812,0.42114,0.41215,0.19813,2.17116,1.33499,0.00234,0.000481144,0.000481144,0.000481144
69,451.016,1.98232,1.16622,0.00142,0.47985,0.42704,0.4235,0.20197,2.18071,1.36323,0.00236,0.000466997,0.000466997,0.000466997
70,457.06,2.00551,1.18047,0.00141,0.58297,0.44085,0.42754,0.19664,2.21972,1.33117,0.00239,0.00045285,0.00045285,0.00045285
71,463.107,2.00713,1.17047,0.00145,0.58011,0.42458,0.42356,0.2039,2.18163,1.29278,0.00233,0.000438703,0.000438703,0.000438703
72,469.203,2.03707,1.19065,0.00141,0.6006,0.41829,0.43347,0.20505,2.17261,1.32241,0.00234,0.000424556,0.000424556,0.000424556
73,475.227,2.02324,1.19087,0.00141,0.43243,0.41015,0.42936,0.20029,2.19034,1.31732,0.00235,0.000410409,0.000410409,0.000410409
74,481.275,1.90246,1.10516,0.00142,0.61707,0.43067,0.43366,0.1997,2.18675,1.32243,0.00235,0.000396262,0.000396262,0.000396262
75,487.571,1.94889,1.13121,0.00138,0.56978,0.40451,0.43025,0.20064,2.21696,1.29845,0.00234,0.000382115,0.000382115,0.000382115
76,493.933,2.02457,1.18163,0.00143,0.50732,0.42484,0.43214,0.20282,2.1886,1.29324,0.00232,0.000367967,0.000367967,0.000367967
